time,open,high,low,close,Plot,Shapes,Shapes,Oscillator,Original,Sell Signal,Buy Signal,Raw Z,Smoothed,Baseline,ATR
1768595400,439.84,439.87,439.18,439.62,-0.029159178688003162,,,-0.00023651368962559344,,,,-0.19386598840692149,-0.1263966211185866,439.9810058823529,1.823454878587883
1768596300,439.61,439.68,437.36,437.67,-0.04962917088925535,,,-0.0382576856104351,,,,-0.7177056712089366,-0.2446584311366566,439.89583137254914,1.8333857810161251
1768919400,429.47,430.66,423.45,427.86,-0.14226463081492227,,,-0.3788704041892718,,,,-5.541901332829297,-1.3041070114751845,439.39335098039214,2.081118065395803
1768920300,427.73,427.87,424.65,424.83,-0.2561592147753846,,,-0.6791678827275939,,,,-5.974363287343333,-2.2381582666488145,438.839437254902,2.103895704087887
1768921200,424.81,425.85,423.74,425.23,-0.3653511166575728,,,-0.9428727949774003,,,,-6.339323309414078,-3.058391275201867,438.2455490196078,2.1040177900061297
1768922100,425.22,426.95,424.33,426.95,-0.459795870362513,,,-1.106334210179713,,,,-5.600559474304706,-3.566824915022435,437.70397254901957,2.114337434206007
1768923000,426.86,427.9,426.13,427.17,-0.5356400522924901,,,-1.1883892367051803,,,,-4.8429528547653184,-3.822050502971012,437.22128431372533,2.1074506855218864
1768923900,427.15,427.26,425.25,426.08,-0.5365031530534684,,,-1.2569949688000022,,,,-4.889013677073993,-4.035443137791608,436.7288264705883,2.1055016718114485
1768924800,426.09,426.96,424.88,425.32,-0.5171886167803755,,-0.5171886167803755,-1.315584311474936,,,,-4.946630426670827,-4.217680595567452,436.2251156862745,2.1049916383752194
1768925700,425.27,425.85,424.13,425.68,-0.49877107495487233,,,-1.3656749668899606,,,,-4.996695454277013,-4.373483567309364,435.7120284313725,2.0972918056077154
1768926600,425.64,425.9,424.48,424.69,-0.5027981727100768,,,-1.394055168346554,,,,-4.814855285141299,-4.461757910875751,435.2104352941176,2.0837459694955602
1768927500,424.73,425.58,423.9,425.13,-0.5047824865108843,,,-1.413042468255402,,,-1.413042468255402,-4.757050288929373,-4.520816386486476,434.70907156862745,2.0756710501056492
1768928400,425.03,427.38,424.77,427.04,-0.48349958073612176,,,-1.3755236272594462,,,,-3.9373196369381755,-4.404117036576816,434.2696568627451,2.086357629103537
1768929300,427.06,427.26,426.07,426.26,-0.4623962428560392,,,-1.3163049077765188,,,,-3.4831416169356406,-4.219921952648581,433.8671362745099,2.068430476521466
1768930200,426.25,426.46,425.48,425.48,-0.4498751424181974,,,-1.2815297436421642,,,,-3.679095138739487,-4.111756589866762,433.4473637254902,2.0466618669910357
1768931100,425.47,425.49,423.88,424.89,-0.43242899677960556,,,-1.2717335518183015,,,,-3.9594052395734094,-4.0812863198080915,433.0014852941177,2.0379286296512156
1768932000,424.92,425.35,424.32,425.35,-0.415293623994933,,,-1.2510657586857235,,,,-3.7598587438737483,-4.017000804621223,432.5715303921569,2.0177700570581916
1768932900,425.37,425.48,424.63,424.79,-0.4191207978083829,,,-1.2214083525343318,,,,-3.5557658722512153,-3.924753818147222,432.1591715686274,1.9944146559170282
1768933800,424.8,425.01,423.34,423.36,-0.42789859736790387,,,-1.2147610518211729,,,,-3.821374335827484,-3.9040779216832746,431.7241107843137,1.9879263627986878
1768934700,423.35,423.9,422.47,423.015,-0.4333485769497002,,,-1.226637071249261,,,,-4.08877495788993,-3.941017328924606,431.26630882352936,1.9767678355427132
1768935600,423.05,423.67,422.9,423.35,-0.4324614106454813,,,-1.2229331800645256,,,,-3.8834140445585814,-3.9294966720514015,430.82538039215683,1.9526324788318596
1768936500,423.35,423.35,422,422.255,-0.44347686729171953,,,-1.2233971913096755,,,,-3.9367130211206045,-3.930939941865242,430.378255882353,1.9405798292552228
1768937400,422.23,422.32,420.88,420.89,-0.46063709029409183,,,-1.2477244160629457,,,,-4.309279362600393,-4.006607826012273,429.8993578431372,1.9305682326701181
1768938300,420.88,421.72,420.7,421.44,-0.4625143360664881,,,-1.266968876915711,,,,-4.305899596661808,-4.06646618014218,429.4194166666666,1.9123568680167167
1768939200,421.44,421.44,420.01,420.17,-0.47121296518131944,,,-1.2816615454371643,,,,-4.294968023399613,-4.112166548793668,428.93707745098044,1.9027097306563825
1768940100,420.17,420.5,417.83,417.88,-0.5002895457513591,,,-1.3292869811264965,,,,-4.852842064957467,-4.260301652026428,428.4030205882353,1.9180555360432552
1768941000,417.88,419.25,417.46,418.65,-0.5076642040496073,,,-1.3757043586468947,,,,-4.982189327304778,-4.404679187082098,427.85335588235296,1.9154944253223904
1768941900,418.67,420.48,418.27,419.24,-0.5010468350099544,,,-1.366617992329297,,,,-4.263367113713549,-4.376416772408389,427.35656764705885,1.9213845368159432
1769005800,421.76,423.23,419.64,421.91,-0.48109464506788213,,,-1.260209522101783,,,,-2.7215416522293214,-4.045441748372576,426.976724509804,1.9627568460796245
1769006700,421.96,424.11,421.88,423.86,-0.43842426679407576,,,-1.1213626187904364,,,,-1.8860808881650044,-3.6135695763310616,426.66449901960783,1.9681017091580324
